

港台,#genre#
凤凰中文,http://[2409:8087:2001:20:2800:0:df6e:eb22]:80/ott.mobaibox.com/PLTV/3/224/3221228527/index.m3u8
凤凰资讯台,http://[2409:8087:2001:20:2800:0:df6e:eb19]:80/ott.mobaibox.com/PLTV/3/224/3221228524/index.m3u8
凤凰香港台,http://[2409:8087:2001:20:2800:0:df6e:eb23]:80/ott.mobaibox.com/PLTV/1/224/3221228530/1.m3u8
番薯音乐,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8
番薯音乐,http://61.216.67.119:1935/TWHG/E1/chunklist_w7058102.m3u8#http://61.216.67.119:1935/TWHG/E1/chunklist_w70581102.m3u8

经典老歌,#genre#
500首华语经典,http://ls.qingting.fm/live/3412131.m3u8?bitrate=64
老歌500首,http://qx.5yi.fun/d/Aliyun/%E9%9F%B3%E4%B9%90/%E8%80%81%E6%AD%8C500%E9%A6%96.mp4
经典老歌,http://qx.5yi.fun/d/Aliyun/%E9%9F%B3%E4%B9%90/%E8%80%81%E6%AD%8C.mp4
经典老歌1,http://qx.5yi.fun/d/Aliyun/%E9%9F%B3%E4%B9%90/%E7%BB%8F%E5%85%B8%E8%80%81%E6%AD%8C1.mp4
经典老歌2,http://qx.5yi.fun/d/Aliyun/%E9%9F%B3%E4%B9%90/%E7%BB%8F%E5%85%B8%E8%80%81%E6%AD%8C2.mp4
经典老歌3,http://qx.5yi.fun/d/Aliyun/%E9%9F%B3%E4%B9%90/%E7%BB%8F%E5%85%B8%E8%80%81%E6%AD%8C3.mp4
经典老歌4,http://qx.5yi.fun/d/Aliyun/%E9%9F%B3%E4%B9%90/%E7%BB%8F%E5%85%B8%E8%80%81%E6%AD%8C4.mp4
经典老歌5,http://qx.5yi.fun/d/Aliyun/%E9%9F%B3%E4%B9%90/%E7%BB%8F%E5%85%B8%E8%80%81%E6%AD%8C5.mp4
华语金曲100首,http://qx.5yi.fun/d/Aliyun/%E9%9F%B3%E4%B9%90/%E5%8D%8E%E8%AF%AD%E9%87%91%E6%9B%B2.mp4

🍁广播,#genre#
无锡新闻广播 FM93.7,http://ls.qingting.fm/live/2777.m3u8
楚天音乐广播 FM105.8 ,http://ls.qingting.fm/live/1289.m3u8
荆门交通音乐频率 FM99.3 ,http://ls.qingting.fm/live/60808.m3u8
襄阳音乐广播,http://ls.qingting.fm/live/5057.m3u8
北京房山经典音乐 FM96.90,http://live.xmcdn.com/live/963/64.m3u8
北京房山经典音乐 FM96.90,http://ls.qingting.fm/live/68746.m3u8
重庆音乐广播 FM88.10,http://live.xmcdn.com/live/131/64.m3u8
重庆音乐广播 FM88.10,http://ls.qingting.fm/live/647.m3u8
厦门音乐广播0,http://ls.qingting.fm/live/1739.m3u8
兰州交通音乐广播 FM99.50,http://ls.qingting.fm/live/1711.m3u8
广州汽车音乐电台 FM102.70,http://live.xmcdn.com/live/257/64.m3u8
广州交通电台 FM106.10,http://ls.qingting.fm/live/4955.m3u8
东莞FM104音乐广播,http://ls.qingting.fm/live/93619.m3u8
云南音乐广播 FM97,http://ls.qingting.fm/live/1929.m3u8
保定经典964汽车音乐广播,http://ls.qingting.fm/live/2227017.m3u8
南宁交通音乐广播 FM107.4,http://ls.qingting.fm/live/80793.m3u8?aac
太原音乐广播 FM102.6,http://ls.qingting.fm/live/1185.m3u8
山东音乐广播 FM99.1,http://ls.qingting.fm/live/1665.m3u8
广西音乐台 FM95.0,http://ls.qingting.fm/live/4875.m3u8
惠州音乐广播 FM90.7,http://ls.qingting.fm/live/2212959.m3u8
新疆维吾尔语交通文艺广播 ,http://ls.qingting.fm/live/78923.m3u8
河北音乐广播 FM102.4,http://ls.qingting.fm/live/1649.m3u8
河南音乐广播 魅力881 FM88.1,http://ls.qingting.fm/live/1208.m3u8
济南音乐广播(MUSIC887),http://ls.qingting.fm/live/1671.m3u8
浙江动听(音乐调频) FM96.8 ,http://ls.qingting.fm/live/4866.m3u8
深圳飞扬音乐971,http://ls.qingting.fm/live/1271.m3u8
温州私家车音乐广播 FM100.3,http://ls.qingting.fm/live/23865.m3u8
珠海电台交通音乐875,http://ls.qingting.fm/live/1275.m3u8
西安音乐广播 FM93.1 ,http://ls.qingting.fm/live/1612.m3u8
贵州电台音乐广播 FM91.6,http://ls.qingting.fm/live/23937.m3u8
郴州音乐交通广播 FM102.8,http://ls.qingting.fm/live/86747.m3u8
陕西音乐广播 FM98.8,http://ls.qingting.fm/live/4873.m3u8
青海交通音乐广播 FM97.2,http://ls.qingting.fm/live/5009.m3u8
鹤壁交通音乐广播 FM93.5,http://ls.qingting.fm/live/3032681.m3u8
龙广音乐广播 FM95.8,http://ls.qingting.fm/live/4969.m3u8
